ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,on_time,high_care_calls,discount_tier,weight_category,is_high_value,is_repeat_customer,low_satisfaction,failure_risk_score,predicted_outcome,predicted_label,risk_tier
41,2,2,5,1,227,2,1,1,15,3798,1,1,2,0,1,0,1,0.0006480526,0,On Time,Low Risk
42,4,2,5,5,139,4,2,1,61,1265,1,1,0,1,0,1,0,0.00060559413,0,On Time,Low Risk
43,3,2,3,5,137,2,2,1,38,1647,1,0,0,1,0,0,0,0.00046573265,0,On Time,Low Risk
44,4,2,3,1,174,2,1,1,44,1556,1,0,0,1,0,0,1,0.00075549923,0,On Time,Low Risk
45,0,2,3,1,151,2,1,1,29,1328,1,0,2,1,0,0,1,0.00080915657,0,On Time,Low Risk
46,1,2,5,1,210,3,1,0,9,2944,1,1,1,1,0,1,1,0.044518266,0,On Time,Low Risk
47,2,2,3,4,169,4,2,0,32,1245,1,0,0,1,0,1,0,0.0011357032,0,On Time,Low Risk
48,4,2,5,1,160,2,1,1,32,1576,1,1,0,1,0,0,1,0.0011487013,0,On Time,Low Risk
49,3,2,5,4,190,2,2,1,9,3753,1,1,1,0,0,0,0,0.04387429,0,On Time,Low Risk
50,4,2,5,3,216,3,1,0,40,2146,1,1,0,1,1,1,0,0.0005633869,0,On Time,Low Risk
51,0,2,4,1,183,3,1,1,37,2042,1,1,0,1,0,1,1,0.00043154616,0,On Time,Low Risk
52,1,2,4,4,141,3,1,1,22,1735,1,1,2,1,0,1,0,0.00071619893,0,On Time,Low Risk
53,2,2,4,3,165,3,1,0,44,1320,1,1,0,1,0,1,0,0.0009292583,0,On Time,Low Risk
54,4,2,2,1,170,3,1,1,41,1128,1,0,0,1,0,1,1,0.00049708836,0,On Time,Low Risk
55,3,2,4,3,203,3,0,1,12,3539,1,1,2,0,0,1,0,0.0004916227,0,On Time,Low Risk
56,4,2,2,5,246,5,1,1,46,2437,1,0,0,1,1,1,0,0.000531123,0,On Time,Low Risk
57,0,2,3,3,238,3,1,0,61,3096,1,0,0,0,1,1,0,0.0004419614,0,On Time,Low Risk
58,1,2,3,3,193,3,2,0,29,3453,1,0,2,0,0,1,0,0.00048573216,0,On Time,Low Risk
59,2,2,5,5,141,3,0,1,41,1367,1,1,0,1,0,1,0,0.001141929,0,On Time,Low Risk
60,4,2,4,1,150,3,0,0,17,1923,1,1,2,1,0,1,1,0.00078458484,0,On Time,Low Risk
61,3,2,3,1,221,3,1,0,64,2794,1,0,0,1,1,1,1,0.0004690706,0,On Time,Low Risk
62,4,2,3,3,179,3,2,1,52,1158,1,0,0,1,0,1,0,0.00075578113,0,On Time,Low Risk
63,0,2,5,1,105,6,2,1,62,1292,1,1,0,1,0,1,1,0.00037184864,0,On Time,Low Risk
64,1,2,3,1,177,3,2,1,61,1880,1,0,0,1,0,1,1,0.00096783304,0,On Time,Low Risk
65,2,2,4,5,261,2,0,1,49,3045,1,1,0,0,1,0,0,0.00035810022,0,On Time,Low Risk
66,4,2,3,2,202,3,1,1,49,2881,1,0,0,1,0,1,1,0.00053098786,0,On Time,Low Risk
67,3,2,3,2,109,3,2,0,15,1710,1,0,2,1,0,1,1,0.00064141455,0,On Time,Low Risk
68,4,2,3,3,158,3,1,0,6,1878,1,0,1,1,0,1,0,0.15342443,0,On Time,Low Risk
69,0,2,4,2,231,4,2,0,6,2512,1,1,1,1,1,1,1,0.13831796,0,On Time,Low Risk
70,1,2,3,5,206,3,2,1,39,2929,1,0,0,1,0,1,0,0.0004050188,0,On Time,Low Risk
71,2,2,5,1,187,4,0,1,14,3849,1,1,2,0,0,1,1,0.0006359096,0,On Time,Low Risk
72,4,2,5,5,230,2,1,0,2,2229,1,1,1,1,1,0,0,0.040590134,0,On Time,Low Risk
73,3,2,5,5,232,3,2,0,33,2998,1,1,0,1,1,1,0,0.0005345461,0,On Time,Low Risk
74,4,2,4,5,215,3,2,0,21,3984,1,1,2,0,1,1,0,0.0012179462,0,On Time,Low Risk
75,0,2,6,1,238,6,1,0,13,2442,1,1,2,1,1,1,1,0.0008930082,0,On Time,Low Risk
76,1,2,4,1,266,3,1,0,23,3775,1,1,2,0,1,1,1,0.0005464973,0,On Time,Low Risk
77,2,2,2,3,158,2,2,0,36,1788,1,0,0,1,0,0,0,0.00051133585,0,On Time,Low Risk
78,4,2,3,3,113,3,1,0,43,1518,1,0,0,1,0,1,0,0.0004930877,0,On Time,Low Risk
79,3,2,3,4,223,3,1,1,18,3959,1,0,2,0,1,1,0,0.00053842115,0,On Time,Low Risk
80,4,2,3,5,257,2,2,0,56,3711,1,0,0,0,1,0,0,0.0005044309,0,On Time,Low Risk
81,0,2,3,4,180,2,2,0,49,1942,1,0,0,1,0,0,0,0.00075016887,0,On Time,Low Risk
82,1,2,2,5,132,3,1,1,18,1759,1,0,2,1,0,1,0,0.00079498417,0,On Time,Low Risk
83,2,2,4,4,217,3,0,0,26,2875,1,1,2,1,1,1,0,0.00044746423,0,On Time,Low Risk
84,4,2,5,5,162,3,0,0,31,1364,1,1,0,1,0,1,0,0.0010215738,0,On Time,Low Risk
85,3,2,4,5,197,2,2,0,40,2710,1,1,0,1,0,0,0,0.0004230104,0,On Time,Low Risk
86,4,2,3,4,197,3,2,1,13,2148,1,0,2,1,0,1,0,0.0006369787,0,On Time,Low Risk
87,0,2,4,1,185,2,1,1,44,2910,1,1,0,1,0,0,1,0.00044590264,0,On Time,Low Risk
88,1,2,6,2,278,3,2,0,3,2974,1,1,1,1,1,1,1,0.041579247,0,On Time,Low Risk
89,2,2,3,3,229,3,1,1,49,2339,1,0,0,1,1,1,0,0.00041263955,0,On Time,Low Risk
90,4,2,4,1,186,4,2,0,57,3880,1,1,0,0,0,1,1,0.0006535106,0,On Time,Low Risk
91,3,2,5,3,174,6,0,0,41,1085,1,1,0,1,0,1,0,0.00086813566,0,On Time,Low Risk
92,4,2,5,5,286,3,1,0,18,3163,1,1,2,0,1,1,0,0.00040590798,0,On Time,Low Risk
93,0,2,4,4,175,2,2,0,7,1188,1,1,1,1,0,0,0,0.17973924,0,On Time,Low Risk
94,1,2,3,3,219,3,2,0,17,3387,1,0,2,0,1,1,0,0.0004915674,0,On Time,Low Risk
95,2,2,4,1,213,4,0,0,35,2343,1,1,0,1,0,1,1,0.0005073954,0,On Time,Low Risk
96,4,2,2,3,235,3,1,1,57,2034,1,0,0,1,1,1,0,0.0004911141,0,On Time,Low Risk
97,3,2,3,3,149,2,2,1,18,1225,1,0,2,1,0,0,0,0.00074566825,0,On Time,Low Risk
98,4,2,4,1,271,2,2,0,8,2401,1,1,1,1,1,0,1,0.03404055,0,On Time,Low Risk
99,0,2,3,5,144,4,2,1,5,1104,1,0,1,1,0,1,0,0.20065725,0,On Time,Low Risk
100,1,2,4,2,145,2,2,1,21,1617,1,1,2,1,0,0,1,0.00063645747,0,On Time,Low Risk
101,2,2,5,3,143,2,2,1,59,1837,1,1,0,1,0,0,0,0.0011958987,0,On Time,Low Risk
102,4,2,5,5,227,4,1,1,53,2624,1,1,0,1,1,1,0,0.0006173186,0,On Time,Low Risk
103,3,2,2,1,213,3,1,1,29,2732,1,0,2,1,0,1,1,0.0006681478,0,On Time,Low Risk
104,4,2,5,1,144,4,1,1,37,1658,1,1,0,1,0,1,1,0.00077251653,0,On Time,Low Risk
105,0,2,3,3,218,3,1,1,3,2255,1,0,1,1,1,1,0,0.022751413,0,On Time,Low Risk
106,1,2,4,2,144,3,2,1,59,1588,1,1,0,1,0,1,1,0.0005436184,0,On Time,Low Risk
107,2,2,3,1,238,3,1,1,17,2624,1,0,2,1,1,1,1,0.0005830551,0,On Time,Low Risk
108,4,2,4,5,216,3,0,1,26,2053,1,1,2,1,1,1,0,0.00052526506,0,On Time,Low Risk
109,3,2,4,5,238,3,0,0,55,3257,1,1,0,0,1,1,0,0.00048185978,0,On Time,Low Risk
110,4,2,4,1,141,3,2,1,47,1250,1,1,0,1,0,1,1,0.00061846315,0,On Time,Low Risk
111,0,1,3,1,158,2,1,1,2,1284,1,0,1,1,0,0,1,0.10474061,0,On Time,Low Risk
112,1,1,4,2,239,3,1,0,65,3679,1,1,0,0,1,1,1,0.00055391283,0,On Time,Low Risk
113,2,1,4,3,175,2,1,1,25,1816,1,1,2,1,0,0,0,0.00084699615,0,On Time,Low Risk
114,4,1,3,2,263,3,1,1,41,2817,1,0,0,1,1,1,1,0.0005801932,0,On Time,Low Risk
115,3,1,3,5,168,2,0,1,50,1616,1,0,0,1,0,0,0,0.0006988515,0,On Time,Low Risk
116,4,1,3,4,176,3,0,1,36,1779,1,0,0,1,0,1,0,0.000496505,0,On Time,Low Risk
117,0,1,4,1,150,4,0,1,60,1024,1,1,0,1,0,1,1,0.0010550417,0,On Time,Low Risk
118,1,1,4,3,265,2,2,0,31,2326,1,1,0,1,1,0,0,0.0004421268,0,On Time,Low Risk
119,2,1,2,5,263,3,1,0,5,2947,1,0,1,1,1,1,0,0.022253823,0,On Time,Low Risk
120,4,1,5,1,145,3,1,1,20,1387,1,1,2,1,0,1,1,0.0010522517,0,On Time,Low Risk
121,3,1,4,2,183,3,1,0,33,2741,1,1,0,1,0,1,1,0.00042858598,0,On Time,Low Risk
122,4,1,3,3,205,3,2,0,19,2167,1,0,2,1,0,1,0,0.00059277436,0,On Time,Low Risk
123,0,1,4,2,160,3,1,1,64,1714,1,1,0,1,0,1,1,0.00067835825,0,On Time,Low Risk
124,1,1,3,3,252,2,2,0,48,2102,1,0,0,1,1,0,0,0.0005010766,0,On Time,Low Risk
125,2,1,5,5,222,3,1,1,10,2280,1,1,1,1,1,1,0,0.028329525,0,On Time,Low Risk
126,4,1,3,3,203,2,1,1,25,3607,1,0,2,0,0,0,0,0.00065954484,0,On Time,Low Risk
127,3,1,4,5,220,3,2,1,40,3516,1,1,0,0,1,1,0,0.0004744887,0,On Time,Low Risk
128,4,1,3,3,147,4,1,0,60,1722,1,0,0,1,0,1,0,0.000719377,0,On Time,Low Risk
129,0,1,4,4,200,4,2,1,16,2060,1,1,2,1,0,1,0,0.0005847396,0,On Time,Low Risk
130,1,1,4,5,224,4,2,1,21,2026,1,1,2,1,1,1,0,0.000613597,0,On Time,Low Risk
131,2,1,3,5,179,2,1,0,17,1364,1,0,2,1,0,0,0,0.0013163666,0,On Time,Low Risk
132,4,1,3,4,144,3,1,1,50,1865,1,0,0,1,0,1,0,0.0011267719,0,On Time,Low Risk
133,3,0,5,2,247,3,1,1,17,3889,1,1,2,0,1,1,1,0.0007282267,0,On Time,Low Risk
134,4,0,5,4,280,6,2,0,51,3582,1,1,0,0,1,1,0,0.00042515728,0,On Time,Low Risk
135,0,0,3,3,168,2,2,0,1,1829,1,0,1,1,0,0,0,0.117471136,0,On Time,Low Risk
136,1,0,3,5,157,3,2,0,4,1889,1,0,1,1,0,1,0,0.108229354,0,On Time,Low Risk
137,2,0,3,3,189,4,2,0,51,2208,1,0,0,1,0,1,0,0.00055883697,0,On Time,Low Risk
138,4,0,3,5,162,2,2,1,7,1739,1,0,1,1,0,0,0,0.17394572,0,On Time,Low Risk
139,3,0,4,1,207,5,1,1,48,2399,1,1,0,1,0,1,1,0.0006915962,0,On Time,Low Risk
140,4,0,5,1,237,2,1,0,10,3860,1,1,1,0,1,0,1,0.050566785,0,On Time,Low Risk
141,0,0,4,4,264,3,0,1,59,2020,1,1,0,1,1,1,0,0.0006982523,0,On Time,Low Risk
142,1,0,5,4,149,3,1,1,51,1645,1,1,0,1,0,1,0,0.00073894137,0,On Time,Low Risk
143,2,0,5,5,162,3,1,1,41,1462,1,1,0,1,0,1,0,0.00063907844,0,On Time,Low Risk
144,4,0,2,1,205,4,2,0,63,2156,1,0,0,1,0,1,1,0.0005548603,0,On Time,Low Risk
145,3,0,2,1,158,3,2,0,51,1540,1,0,0,1,0,1,1,0.00047818833,0,On Time,Low Risk
146,4,0,2,2,248,2,1,1,46,3707,1,0,0,0,1,0,1,0.000426407,0,On Time,Low Risk
147,0,0,3,5,191,3,1,1,23,3750,1,0,2,0,0,1,0,0.0003637714,0,On Time,Low Risk
148,1,0,4,3,146,4,2,0,24,1844,1,1,2,1,0,1,0,0.0011013682,0,On Time,Low Risk
149,2,0,3,3,135,3,1,1,56,1490,1,0,0,1,0,1,0,0.00085251627,0,On Time,Low Risk
150,4,0,5,1,149,3,1,1,40,1062,1,1,0,1,0,1,1,0.0006023079,0,On Time,Low Risk
151,3,0,4,4,220,2,2,0,7,2551,1,1,1,1,1,0,0,0.025631616,0,On Time,Low Risk
152,4,0,5,3,98,5,2,1,44,1269,1,1,0,1,0,1,0,0.0005790733,0,On Time,Low Risk
153,0,0,3,4,97,4,1,1,32,1238,1,0,0,1,0,1,0,0.0006750955,0,On Time,Low Risk
154,1,0,3,3,183,2,1,1,53,3932,1,0,0,0,0,0,0,0.00036786194,0,On Time,Low Risk
155,2,2,3,3,162,3,2,0,8,1869,1,0,1,1,0,1,0,0.1614639,0,On Time,Low Risk
156,4,2,5,1,114,4,1,0,47,1443,1,1,0,1,0,1,1,0.0003399226,0,On Time,Low Risk
157,3,2,6,3,275,5,1,1,41,2491,1,1,0,1,1,1,0,0.0008546073,0,On Time,Low Risk
158,4,2,3,2,203,2,2,0,39,3845,1,0,0,0,0,0,1,0.0006710824,0,On Time,Low Risk
159,0,2,5,5,205,2,0,1,65,3671,1,1,0,0,0,0,0,0.00048213068,0,On Time,Low Risk
160,1,2,3,3,149,3,1,0,63,1946,1,0,0,1,0,1,0,0.0007802969,0,On Time,Low Risk
161,2,2,2,2,112,4,2,1,56,1138,1,0,0,1,0,1,1,0.00063574786,0,On Time,Low Risk
162,4,2,3,1,207,3,2,0,56,3482,1,0,0,0,0,1,1,0.00064819655,0,On Time,Low Risk
163,3,2,4,1,261,4,1,0,58,3427,1,1,0,0,1,1,1,0.00041288097,0,On Time,Low Risk
164,4,2,5,2,274,3,2,1,6,3375,1,1,1,0,1,1,1,0.04017028,0,On Time,Low Risk
165,0,2,3,5,141,2,1,1,52,1692,1,0,0,1,0,0,0,0.00083533814,0,On Time,Low Risk
166,1,2,3,3,166,4,2,0,17,1498,1,0,2,1,0,1,0,0.0011125406,0,On Time,Low Risk
167,2,2,5,2,141,3,0,0,34,1020,1,1,0,1,0,1,1,0.0010921713,0,On Time,Low Risk
168,4,2,4,5,152,3,1,1,43,1709,1,1,0,1,0,1,0,0.00050587277,0,On Time,Low Risk
169,3,2,4,2,250,3,1,0,53,2478,1,1,0,1,1,1,1,0.00048290566,0,On Time,Low Risk
170,4,2,4,3,161,3,2,0,28,1809,1,1,2,1,0,1,0,0.0007467951,0,On Time,Low Risk
171,0,2,4,3,185,3,2,0,10,2263,1,1,1,1,0,1,0,0.018237343,0,On Time,Low Risk
172,1,2,4,4,176,4,0,0,52,1096,1,1,0,1,0,1,0,0.0006810475,0,On Time,Low Risk
173,2,2,3,4,148,3,1,1,56,1550,1,0,0,1,0,1,0,0.00066722446,0,On Time,Low Risk
174,4,2,3,2,270,3,1,0,63,2751,1,0,0,1,1,1,1,0.00047037558,0,On Time,Low Risk
175,3,2,3,3,242,3,1,0,51,3935,1,0,0,0,1,1,0,0.00048872305,0,On Time,Low Risk
176,4,2,4,4,150,2,2,1,3,1285,1,1,1,1,0,0,0,0.13330166,0,On Time,Low Risk
177,0,2,4,5,192,3,0,1,20,3872,1,1,2,0,0,1,0,0.00026354217,0,On Time,Low Risk
178,1,2,4,5,116,3,2,1,54,1314,1,1,0,1,0,1,0,0.00046991085,0,On Time,Low Risk
179,2,2,3,3,192,3,2,0,2,3995,1,0,1,0,0,1,0,0.22912918,0,On Time,Low Risk
180,4,2,5,5,255,4,2,1,3,3440,1,1,1,0,1,1,0,0.093269564,0,On Time,Low Risk
181,3,2,4,1,161,7,2,0,18,1294,1,1,2,1,0,1,1,0.0007918771,0,On Time,Low Risk
182,4,2,4,5,157,3,1,1,20,1487,1,1,2,1,0,1,0,0.0005412885,0,On Time,Low Risk
183,0,2,3,2,164,10,0,0,28,1940,1,0,2,1,0,1,1,0.0009237961,0,On Time,Low Risk
184,1,2,3,5,162,7,2,0,16,1052,1,0,2,1,0,1,0,0.0013007574,0,On Time,Low Risk
185,2,2,3,3,146,2,1,1,50,1486,1,0,0,1,0,0,0,0.00086524687,0,On Time,Low Risk
186,4,2,3,2,209,3,2,1,54,3001,1,0,0,0,0,1,1,0.0006277326,0,On Time,Low Risk
187,3,2,5,4,134,2,2,0,55,1386,1,1,0,1,0,0,0,0.0012483799,0,On Time,Low Risk
188,4,2,2,1,222,2,2,1,5,3778,1,0,1,0,1,0,1,0.040338505,0,On Time,Low Risk
189,0,2,2,5,139,3,1,0,27,1233,1,0,2,1,0,1,0,0.00097643875,0,On Time,Low Risk
190,1,2,2,4,134,3,1,0,42,1415,1,0,0,1,0,1,0,0.0008536417,0,On Time,Low Risk
191,2,2,2,5,130,3,1,1,16,1092,1,0,2,1,0,1,0,0.0011106102,0,On Time,Low Risk
192,4,2,2,5,133,3,1,0,62,1596,1,0,0,1,0,1,0,0.000850541,0,On Time,Low Risk
193,3,2,2,4,140,3,1,0,7,1411,1,0,1,1,0,1,0,0.07827017,0,On Time,Low Risk
194,4,2,2,2,158,3,1,1,28,1968,1,0,2,1,0,1,1,0.0006690526,0,On Time,Low Risk
195,0,2,4,2,270,4,1,0,46,1736,1,1,0,1,1,1,1,0.0009637181,0,On Time,Low Risk
196,1,2,2,5,140,3,1,0,30,1030,1,0,2,1,0,1,0,0.0018420867,0,On Time,Low Risk
197,2,2,2,2,135,3,1,1,15,1339,1,0,2,1,0,1,1,0.0007905848,0,On Time,Low Risk
198,4,2,2,3,136,3,1,0,19,1568,1,0,2,1,0,1,0,0.0009017358,0,On Time,Low Risk
199,3,2,2,3,142,3,2,0,38,7640,1,0,0,2,0,1,0,0.0009087204,0,On Time,Low Risk
200,4,2,2,2,154,3,2,1,38,7846,1,0,0,2,0,1,1,0.00046743717,0,On Time,Low Risk
201,0,2,2,3,139,3,1,1,9,1471,1,0,1,1,0,1,0,0.07495682,0,On Time,Low Risk
202,1,2,2,3,160,3,1,0,43,1251,1,0,0,1,0,1,0,0.0008370612,0,On Time,Low Risk
203,2,2,2,4,134,3,1,1,58,1067,1,0,0,1,0,1,0,0.0009704558,0,On Time,Low Risk
204,4,2,5,3,161,5,0,1,48,1883,1,1,0,1,0,1,0,0.0008402458,0,On Time,Low Risk
205,3,2,2,5,155,3,1,1,23,1602,1,0,2,1,0,1,0,0.0006021337,0,On Time,Low Risk
206,4,2,2,3,145,3,2,0,24,7588,1,0,2,2,0,1,0,0.0011575834,0,On Time,Low Risk
207,0,2,2,2,157,3,1,1,1,1477,1,0,1,1,0,1,1,0.07214238,0,On Time,Low Risk
208,1,2,2,2,160,3,1,1,48,1691,1,0,0,1,0,1,1,0.0007785203,0,On Time,Low Risk
209,2,2,2,4,152,3,1,1,55,1498,1,0,0,1,0,1,0,0.00074339606,0,On Time,Low Risk
210,4,2,2,5,148,3,0,0,11,1502,1,0,2,1,0,1,0,0.0007763666,0,On Time,Low Risk
211,3,2,2,1,127,3,1,0,15,1522,1,0,2,1,0,1,1,0.00028666735,0,On Time,Low Risk
212,4,2,2,5,154,3,1,0,21,1113,1,0,2,1,0,1,0,0.00074948213,0,On Time,Low Risk
213,0,2,2,5,127,3,1,1,44,1341,1,0,0,1,0,1,0,0.0007013916,0,On Time,Low Risk
214,1,2,2,5,160,3,2,0,31,7401,1,0,0,2,0,1,0,0.0011131406,0,On Time,Low Risk
215,2,2,2,4,129,3,1,0,48,1219,1,0,0,1,0,1,0,0.0005554397,0,On Time,Low Risk
216,4,2,2,5,158,3,1,0,40,1722,1,0,0,1,0,1,0,0.00060833566,0,On Time,Low Risk
217,3,2,4,3,185,3,2,1,3,3131,1,1,1,0,0,1,0,0.03074578,0,On Time,Low Risk
218,4,2,4,4,176,4,0,0,63,1293,1,1,0,1,0,1,0,0.0006717412,0,On Time,Low Risk
219,0,2,3,4,148,3,1,1,37,1523,1,0,0,1,0,1,0,0.0006324062,0,On Time,Low Risk
220,1,2,3,5,270,3,1,1,60,3885,1,0,0,0,1,1,0,0.00039849925,0,On Time,Low Risk
221,2,2,3,4,242,3,1,1,29,2381,1,0,2,1,1,1,0,0.0005258219,0,On Time,Low Risk
222,4,2,4,3,150,2,2,1,31,1588,1,1,0,1,0,0,0,0.00057299697,0,On Time,Low Risk
223,3,2,4,2,192,3,0,1,4,2061,1,1,1,1,0,1,1,0.012184264,0,On Time,Low Risk
224,4,2,4,5,116,3,2,0,9,1314,1,1,1,1,0,1,0,0.028173694,0,On Time,Low Risk
225,0,2,3,4,192,3,2,0,31,3331,1,0,0,0,0,1,0,0.00028355172,0,On Time,Low Risk
226,1,2,5,4,255,4,2,0,38,2771,1,1,0,1,1,1,0,0.00067357684,0,On Time,Low Risk
227,2,2,4,3,161,7,2,1,63,1496,1,1,0,1,0,1,0,0.0006251706,0,On Time,Low Risk
228,4,2,4,2,157,3,1,0,48,1393,1,1,0,1,0,1,1,0.0009944253,0,On Time,Low Risk
229,3,2,3,2,164,10,0,1,14,1375,1,0,2,1,0,1,1,0.0016244736,0,On Time,Low Risk
230,4,2,3,3,162,7,2,0,42,1278,1,0,0,1,0,1,0,0.00075361383,0,On Time,Low Risk
231,0,2,3,1,146,2,1,0,54,1528,1,0,0,1,0,0,1,0.0007368374,0,On Time,Low Risk
232,1,2,3,4,209,3,2,0,60,2240,1,0,0,1,0,1,0,0.0005019129,0,On Time,Low Risk
233,2,2,5,5,134,2,2,1,53,1088,1,1,0,1,0,0,0,0.0008438986,0,On Time,Low Risk
234,4,2,2,1,222,2,2,1,58,3626,1,0,0,0,1,0,1,0.00048269352,0,On Time,Low Risk
235,3,2,2,1,139,3,1,0,39,1582,1,0,0,1,0,1,1,0.00036648437,0,On Time,Low Risk
236,4,2,2,2,134,3,1,1,38,1352,1,0,0,1,0,1,1,0.000717581,0,On Time,Low Risk
237,0,2,2,3,130,3,1,0,48,1801,1,0,0,1,0,1,0,0.00065015623,0,On Time,Low Risk
238,1,2,2,2,133,3,1,1,5,1268,1,0,1,1,0,1,1,0.032443784,0,On Time,Low Risk
239,2,2,2,3,140,3,1,0,23,1372,1,0,2,1,0,1,0,0.0012153735,0,On Time,Low Risk
240,4,2,2,3,158,3,1,1,10,1515,1,0,1,1,0,1,0,0.11861789,0,On Time,Low Risk
241,3,2,4,5,270,4,1,1,65,1818,1,1,0,1,1,1,0,0.0009573865,0,On Time,Low Risk
242,4,2,2,4,140,3,1,0,33,1278,1,0,0,1,0,1,0,0.0007455784,0,On Time,Low Risk
243,0,2,2,2,135,3,1,1,58,1734,1,0,0,1,0,1,1,0.00064151024,0,On Time,Low Risk
244,1,2,2,4,136,3,1,1,43,1958,1,0,0,1,0,1,0,0.001073584,0,On Time,Low Risk
245,2,2,2,1,142,3,2,0,8,6064,1,0,1,2,0,1,1,0.22443803,0,On Time,Low Risk
